"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"（……あの様子だと、/　上達は当分、先送りね……）","(...at this rate, /progress is postponed...)","Portrait: !p0000!e00","","49","44","0"
"（……さすが、響子先生……）","(...typical Kyoko-sensei...)","Portrait: !p0000!e00","","28","26","0"
"（……だから出ないって。/　委員長も、結構ガンコね……）","(...said I won't. /Rep's stubborn...)","Portrait: !p0000!e00","","55","36","0"
"（……ま、自業自得って事ね。/　ご愁傷さま……）","(...well, serves you right. /my condolences...)","Portrait: !p0000!e00","","47","46","0"
"（……あの様子だと、/　上達は当分、先送りだな……）","(...at this rate, /progress is postponed...)","Portrait: !p0000!e00","","51","44","0"
"（……ま、自業自得って事だな。/　ご愁傷さま……）","(...well, serves you right. /my condolences...)","Portrait: !p0000!e00","","49","46","0"
"（……俺のつたない指示を真剣に受け、/　恭介は練習を繰り返す。/　その姿は、とても充実して見えた）","(...taking my clumsy guidance, /Kyosuke practiced. /looked very fulfilled)","Portrait: !p0000!e00","","96","74","0"
"（……私のつたない指示を真剣に受け、/　恭介は練習を繰り返す。/　その姿は、とても充実して見えた）","(...taking my clumsy guidance, /Kyosuke practiced. /looked very fulfilled)","Portrait: !p0000!e00","","96","74","0"
"（……納得）","(...understood)","Portrait: !p0000!e00","","12","12","0"
"（……どうせ迷うなら、ケーキを/　つまみ食いする時じゃないの……？）","(...if hesitating, shouldn't it be /when snacking on cake...?)","Portrait: !p0000!e00","","67","58","0"
"（……どっか行こう。/　ゴメンな、委員長……）","(...let's go. /sorry, Rep...)","Portrait: !p0000!e00","","45","30","0"
"（……どっか行こう。/　ゴメンね、委員長……）","(...let's go. /sorry, Rep...)","Portrait: !p0000!e00","","45","30","0"
"（……だから出ないって。/　委員長も、結構ガンコだよな……）","(...said I won't. /Rep's stubborn...)","Portrait: !p0000!e00","","59","38","0"
"（……着眼点が違うなぁ……）","(...different viewpoint...)","Portrait: !p0000!e00","","28","26","0"
"（……着眼点が違うわね……）","(...different viewpoint...)","Portrait: !p0000!e00","","28","26","0"
